"club","in_degree","out_degree","in_strength","out_strength","betweenness","in_coreness","out_coreness","country_now","season_now","p_mid","rk_mid","g_diff_mid","pts_mid","p_final","rk_final","g_diff_final","pts_final","country_before","season_before","p","rk","g_diff","pts"
"Olympique Lyon",5,2,700005,2,790,1,1,"France",1995,19,15,-3,21,38,11,0,48,"France",1994,38,2,18,50
"Padova",3,0,1500003,0,0,1,0,"Italy",1995,17,17,-10,15,34,18,-38,24,"Italy",1994,34,15,-21,40
"Paris SG",4,4,4,9750004,872,1,1,"France",1995,19,1,22,41,38,2,29,68,"France",1994,38,4,17,47
"Parma",4,1,20750004,1500001,260,1,0,"Italy",1995,17,3,11,31,34,6,13,58,"Italy",1994,34,3,20,63
"QPR",4,3,3135004,9500003,1164,1,1,"England",1995,19,16,-11,18,38,19,-19,33,"England",1994,42,8,2,60
"R. Strasbourg",2,1,2,1,2,0,0,"France",1995,19,6,12,31,38,9,2,54,"France",1994,38,10,0,38
"Racing",1,2,840001,2280002,70,0,1,"Spain",1995,21,19,-16,21,42,17,-22,47,"Spain",1994,38,12,-5,36
"Real Betis",5,3,9040005,3000003,1002,1,1,"Spain",1995,21,6,8,34,42,8,7,62,"Spain",1994,38,3,21,46
"Real Madrid",6,3,13100006,6000003,1386,1,1,"Spain",1995,21,7,8,33,42,6,24,70,"Spain",1994,38,1,47,55
"Real Oviedo",4,2,1110004,6000002,638,1,1,"Spain",1995,21,15,-10,22,42,15,-19,48,"Spain",1994,38,9,3,39
"Real Sociedad",4,2,780004,8500002,219,1,1,"Spain",1995,21,12,-5,26,42,7,9,63,"Spain",1994,38,10,12,38
"Real Valladolid",6,3,1140006,555003,7509,1,1,"Spain",1995,21,22,-15,14,42,16,-5,47,"Spain",1994,38,19,-38,25
"Real Zaragoza",4,1,4320004,3600001,132,1,1,"Spain",1995,21,13,-7,25,42,12,-8,48,"Spain",1994,38,7,5,43
"Saint-Étienne",6,0,6,0,0,0,0,"France",1995,19,16,-10,19,38,19,-23,34,"France",1994,38,18,-10,29
"Sampdoria",5,3,3820005,15100003,2618,1,1,"Italy",1995,17,11,0,22,34,8,12,52,"Italy",1994,34,8,14,50
"SC Bastia",2,2,2,2,176,0,1,"France",1995,19,10,-2,27,38,15,-10,44,"France",1994,38,15,-12,33
"SC Freiburg",6,2,4160006,3650002,453,1,1,"Germany",1995,17,16,-11,16,34,11,-11,42,"Germany",1994,34,3,22,46
"SD Compostela",3,3,250003,3,6411,1,1,"Spain",1995,21,2,7,42,42,10,-7,59,"Spain",1994,38,16,-12,34
"Sevilla FC",4,2,2355004,2,6294,1,1,"Spain",1995,21,16,-12,22,42,14,-12,48,"Spain",1994,38,6,14,43
"Sheff Wed",6,3,5500006,3750003,360,1,1,"England",1995,19,14,-1,22,38,15,-13,40,"England",1994,42,13,-8,51
"Southampton",2,0,1200002,0,0,1,0,"England",1995,19,15,-11,18,38,17,-18,38,"England",1994,42,10,-2,54
"Sporting Gijón",4,1,500004,3000001,69,1,1,"Spain",1995,21,14,-4,23,42,18,-9,46,"Spain",1994,38,18,-25,28
"Spurs",9,6,16300009,12000006,5490,1,1,"England",1995,19,4,7,34,38,8,12,61,"England",1994,42,7,8,62
"SSC Napoli",5,2,3450005,9700002,275,0,1,"Italy",1995,17,10,0,23,34,12,-13,41,"Italy",1994,34,7,-5,51
"Stade Rennais",6,0,6,0,0,1,0,"France",1995,19,8,2,29,38,8,3,54,"France",1994,38,13,-2,36
"Torino",9,2,9,2,19,1,1,"Italy",1995,17,14,-9,17,34,16,-18,29,"Italy",1994,34,11,-4,45
"Valencia",5,2,5720005,2,5852,1,1,"Spain",1995,21,5,8,36,42,2,26,83,"Spain",1994,38,11,5,38
"VfB Stuttgart",10,2,6550010,2525002,578,1,1,"Germany",1995,17,3,7,28,34,10,-3,43,"Germany",1994,34,12,-14,30
"Werder Bremen",7,1,6250007,2540001,198,1,1,"Germany",1995,17,15,-6,17,34,9,-3,44,"Germany",1994,34,2,31,48
"West Ham",7,5,1574007,2120005,1552,1,1,"England",1995,19,13,-7,23,38,10,-9,51,"England",1994,42,14,-4,50
"1. FC Köln",4,2,1400004,4000002,5788,1,1,"Germany",1996,17,7,2,26,34,10,0,44,"Germany",1995,34,12,-2,40
"1860 Munich",7,3,2425007,2100003,1077,1,1,"Germany",1996,17,14,-6,18,34,7,0,49,"Germany",1995,34,8,6,45
"AC Le Havre",6,1,6,1,688,1,1,"France",1996,19,16,-1,21,38,14,-9,43,"France",1995,38,13,-12,45
"AC Milan",6,8,6500006,13610008,408,1,1,"Italy",1996,17,7,4,25,34,11,-2,43,"Italy",1995,34,1,36,73
"AJ Auxerre",9,3,9,8200003,436,1,1,"France",1996,19,7,13,29,38,6,17,61,"France",1995,38,1,36,72
"Arsenal",2,3,5350002,1500003,217,1,1,"England",1996,19,1,17,36,38,3,30,68,"England",1995,38,5,17,63
"AS Roma",4,0,5000004,0,0,1,0,"Italy",1996,17,11,3,23,34,12,-1,41,"Italy",1995,34,5,17,58
"Aston Villa",4,2,8100004,2,2470,1,1,"England",1996,19,5,10,33,38,5,13,61,"England",1995,38,4,17,63
"Atalanta BC",7,5,4090007,3770005,1925,1,1,"Italy",1996,17,9,-1,24,34,10,-2,44,"Italy",1995,34,13,-12,39
"Athletic",4,2,5910004,900002,479,1,1,"Spain",1996,21,7,10,32,42,6,15,64,"Spain",1995,42,13,-11,48
"Atlético Madrid",8,4,5510008,8400004,3642,1,1,"Spain",1996,21,5,13,38,42,5,12,71,"Spain",1995,42,1,43,87
"Barcelona",9,4,39500009,5800004,4197,1,1,"Spain",1996,21,2,34,46,42,2,54,90,"Spain",1995,42,3,33,80
"Bay. Leverkusen",8,2,4780008,1950002,1452,1,1,"Germany",1996,17,3,16,34,34,2,28,69,"Germany",1995,34,14,-1,38
"Blackburn",3,1,3,21000001,877,1,1,"England",1996,19,17,-5,17,38,13,-1,42,"England",1995,38,7,14,61
"Bor. Dortmund",7,5,5900007,4100005,6571,1,1,"Germany",1996,17,2,18,34,34,3,22,63,"Germany",1995,34,1,38,68
"Bor. M'gladbach",5,5,2150005,5020005,103,1,1,"Germany",1996,17,17,-11,15,34,11,-2,43,"Germany",1995,34,4,1,53
"Cagliari Calcio",6,2,6,7000002,5778.5,1,1,"Italy",1996,17,16,-9,15,34,14,-10,37,"Italy",1995,34,11,-13,41
"Cannes",7,0,7,0,0,1,0,"France",1996,19,15,-5,22,38,15,-16,41,"France",1995,38,14,-6,44
"CD Tenerife",5,4,4800005,2430004,3755,1,1,"Spain",1996,21,10,11,29,42,9,12,56,"Spain",1995,42,5,15,72
"Celta de Vigo",6,1,4560006,2400001,2707,1,1,"Spain",1996,21,14,-7,24,42,16,-3,49,"Spain",1995,42,11,-2,52
"Chelsea",4,3,8950004,1200003,4628,1,1,"England",1996,19,7,3,31,38,6,3,59,"England",1995,38,11,2,50
"Coventry",3,0,1800003,0,0,0,0,"England",1996,19,15,-8,19,38,17,-16,41,"England",1995,38,16,-18,38
"Dep. La Coruña",8,3,32500008,3,569,1,1,"Spain",1996,21,4,15,39,42,4,27,77,"Spain",1995,42,9,19,61
"Espanyol",3,3,2300003,5750003,30,0,1,"Spain",1996,21,15,-6,23,42,12,-6,51,"Spain",1995,42,4,27,74
"Everton",7,2,17500007,2,277,1,1,"England",1996,19,8,4,28,38,15,-13,42,"England",1995,38,6,20,61
"F. Düsseldorf",8,0,1245008,0,0,1,0,"Germany",1996,17,15,-12,18,34,16,-31,33,"Germany",1995,34,13,-7,40
"FC Bayern",9,3,6670009,6350003,2156,1,1,"Germany",1996,17,1,13,36,34,1,34,71,"Germany",1995,34,2,20,62
"FC Metz",4,1,4,1,375,0,1,"France",1996,19,5,6,31,38,5,10,62,"France",1995,38,4,12,65
"FC Nantes",6,2,6,4300002,16,0,1,"France",1996,19,13,8,24,38,3,29,64,"France",1995,38,7,2,55
"FC Schalke 04",4,1,800004,1,210,1,1,"Germany",1996,17,8,-1,25,34,12,-5,43,"Germany",1995,34,3,9,56
"FC St. Pauli",8,0,41008,0,0,1,0,"Germany",1996,17,11,-7,21,34,18,-37,27,"Germany",1995,34,15,-8,38
"Fiorentina",6,0,7000006,0,0,1,0,"Italy",1996,17,6,8,26,34,9,5,45,"Italy",1995,34,4,12,59
"G. Bordeaux",5,11,1000005,12090011,1274,1,1,"France",1996,19,4,7,31,38,4,17,63,"France",1995,38,16,-8,42
"Guingamp",3,1,3,1,78,1,0,"France",1996,19,11,-1,25,38,12,-4,46,"France",1995,38,10,1,53
"Hamburger SV",9,1,4200009,1000001,60,1,0,"Germany",1996,17,12,-4,20,34,13,-14,41,"Germany",1995,34,5,5,50
"Hansa Rostock",6,1,1025006,2300001,616,0,1,"Germany",1996,17,16,-7,15,34,15,-11,40,"Germany",1995,34,6,4,49
"Inter",10,2,23530010,11000002,6297,1,1,"Italy",1996,17,3,5,28,34,3,16,59,"Italy",1995,34,7,21,54
"Juventus",7,2,11770007,13380002,3176,1,1,"Italy",1996,17,1,11,33,34,1,27,65,"Italy",1995,34,2,23,65
"Karlsruher SC",4,3,1350004,2300003,261,0,1,"Germany",1996,17,5,10,28,34,6,11,49,"Germany",1995,34,7,6,48
"Lazio",8,4,5950008,10000004,5925,1,1,"Italy",1996,17,12,2,23,34,4,17,55,"Italy",1995,34,3,28,59
"Leeds",6,0,15225006,0,0,1,0,"England",1996,19,14,-7,22,38,11,-10,46,"England",1995,38,13,-17,43
"Lens",7,1,2500007,1,44,1,0,"France",1996,19,14,-5,24,38,13,-12,45,"France",1995,38,5,14,63
"Liverpool",5,0,3500005,0,0,1,0,"England",1996,19,2,14,36,38,4,25,68,"England",1995,38,3,36,71
"LOSC Lille",1,2,1,2,88,1,1,"France",1996,19,8,-5,28,38,19,-26,35,"France",1995,38,17,-23,39
"Man Utd",6,4,11230006,6750004,4258,1,1,"England",1996,19,4,16,34,38,1,32,75,"England",1995,38,1,38,82
"Middlesbrough",5,4,9780005,16000004,969,1,1,"England",1996,19,18,-6,16,38,19,-9,39,"England",1995,38,12,-15,43
"MK Dons",3,0,2790003,0,0,0,0,"England",1996,19,3,8,35,38,8,3,56,"England",1995,38,14,-15,41
"Monaco",3,2,6000003,2600002,1922,1,1,"France",1996,19,2,19,38,38,1,39,79,"France",1995,38,3,25,68
"Montpellier",1,2,1,2,162,1,1,"France",1996,19,17,-6,18,38,10,0,51,"France",1995,38,6,11,60
"Newcastle",3,2,21000003,3250002,789,1,1,"England",1996,19,6,7,31,38,2,33,68,"England",1995,38,2,29,78
"Nottm Forest",6,3,6485006,3,605,1,1,"England",1996,19,20,-18,13,38,20,-28,34,"England",1995,38,9,-4,58
"OGC Nice",3,1,3,1,147,0,1,"France",1996,19,20,-23,10,38,20,-38,23,"France",1995,38,12,-7,45
"Olympique Lyon",2,2,2,2,87,0,1,"France",1996,19,9,-4,26,38,8,9,60,"France",1995,38,11,0,48
"Paris SG",4,5,4,7000005,687,1,1,"France",1996,19,1,18,39,38,2,26,67,"France",1995,38,2,29,68
"Parma",5,3,5880005,7990003,2039,1,1,"Italy",1996,17,5,3,27,34,2,15,63,"Italy",1995,34,6,13,58
"Piacenza",2,1,2,1,132,0,1,"Italy",1996,17,14,-7,19,34,16,-16,37,"Italy",1995,34,14,-17,37
"R. Strasbourg",6,3,1600006,5450003,1867,1,1,"France",1996,19,6,-3,31,38,9,3,60,"France",1995,38,9,2,54
"Racing",7,3,4000007,1320003,4865,1,1,"Spain",1996,21,8,1,30,42,13,-2,50,"Spain",1995,42,17,-22,47
"Rayo Vallecano",4,1,2761004,1,232,1,0,"Spain",1996,21,13,-3,26,42,18,-19,45,"Spain",1995,42,19,-28,44
"Real Betis",5,4,18820005,1500004,3607,1,1,"Spain",1996,21,3,24,42,42,3,35,77,"Spain",1995,42,8,7,62
"Real Madrid",11,6,40960011,3001006,7095,1,1,"Spain",1996,21,1,29,49,42,1,49,92,"Spain",1995,42,6,24,70
"Real Oviedo",6,0,3480006,0,0,1,0,"Spain",1996,21,12,-1,26,42,17,-16,48,"Spain",1995,42,15,-19,48
"Real Sociedad",5,1,12070005,6000001,1797,1,1,"Spain",1996,21,6,7,37,42,8,3,63,"Spain",1995,42,7,9,63
"Real Valladolid",2,1,750002,1,411,1,1,"Spain",1996,21,9,0,30,42,7,11,64,"Spain",1995,42,16,-5,47
"Real Zaragoza",3,1,5800003,1,9,1,0,"Spain",1996,21,21,-16,15,42,14,-8,50,"Spain",1995,42,12,-8,48
"Sampdoria",8,4,10090008,9350004,540,1,1,"Italy",1996,17,2,11,29,34,6,14,53,"Italy",1995,34,8,12,52
"SC Bastia",5,5,700005,5,425,0,1,"France",1996,19,3,6,33,38,7,7,61,"France",1995,38,15,-10,44
"SC Freiburg",4,1,750004,1000001,1021,1,1,"Germany",1996,17,18,-20,13,34,17,-24,29,"Germany",1995,34,11,-11,42
"SD Compostela",4,0,1800004,0,0,1,0,"Spain",1996,21,16,-17,23,42,11,-13,53,"Spain",1995,42,10,-7,59
"Sevilla FC",8,3,11300008,3825003,904,1,1,"Spain",1996,21,19,-15,18,42,20,-19,43,"Spain",1995,42,14,-12,48
"Sheff Wed",6,2,7800006,8000002,1905,1,1,"England",1996,19,10,-1,27,38,7,-1,57,"England",1995,38,15,-13,40
"Southampton",8,3,1713008,3100003,463,1,1,"England",1996,19,19,-8,16,38,16,-6,41,"England",1995,38,17,-18,38
"Sporting Gijón",5,0,3650005,0,0,1,0,"Spain",1996,21,17,-9,22,42,15,-18,50,"Spain",1995,42,18,-9,46
"Spurs",7,0,2000007,0,0,0,0,"England",1996,19,9,2,28,38,10,-7,46,"England",1995,38,8,12,61
"SSC Napoli",7,3,5000007,3,5888,1,1,"Italy",1996,17,10,-3,24,34,13,-7,41,"Italy",1995,34,12,-13,41
"Stade Rennais",6,4,700006,7800004,1038,1,1,"France",1996,19,12,-3,25,38,16,-18,40,"France",1995,38,8,3,54
"Udinese Calcio",4,1,4,4000001,6,1,0,"Italy",1996,17,13,-1,22,34,5,12,54,"Italy",1995,34,10,-8,41
"Valencia",4,2,13560004,9810002,2261,1,1,"Spain",1996,21,11,1,28,42,10,4,56,"Spain",1995,42,2,26,83
"VfB Stuttgart",7,5,3100007,100005,324,1,1,"Germany",1996,17,4,20,31,34,4,38,61,"Germany",1995,34,10,-3,43
"Vicenza",4,0,4,0,0,1,0,"Italy",1996,17,4,9,27,34,8,5,47,"Italy",1995,34,9,-1,49
"Werder Bremen",6,5,5150006,8800005,1285,1,1,"Germany",1996,17,9,1,22,34,8,1,48,"Germany",1995,34,9,-3,44
"West Ham",8,1,5500008,1,35,1,0,"England",1996,19,16,-9,19,38,14,-9,42,"England",1995,38,10,-9,51
"1. FC Köln",9,2,1350009,2,770,1,0,"Germany",1997,17,18,-14,16,34,17,-15,36,"Germany",1996,34,10,0,44
"1860 Munich",5,1,400005,1,66,0,0,"Germany",1997,17,13,-9,20,34,13,-11,41,"Germany",1996,34,7,0,49
"AC Le Havre",6,2,6,2000002,380,0,1,"France",1997,17,17,-5,15,34,10,3,44,"France",1996,38,14,-9,43
"AC Milan",16,12,45080016,25550512,12512.5,2,2,"Italy",1997,17,9,2,24,34,10,-6,44,"Italy",1996,34,11,-2,43
"AJ Auxerre",6,4,760006,7300004,1133.66666666667,1,1,"France",1997,17,8,4,26,34,7,10,51,"France",1996,38,6,17,61
"Arm. Bielefeld",5,2,5,400002,499,0,1,"Germany",1997,17,14,-5,19,34,18,-13,32,"Germany",1996,34,14,-8,40
"Arsenal",10,1,22025010,1,1311,2,1,"England",1997,19,6,12,33,38,1,35,78,"England",1996,38,3,30,68
"AS Roma",11,4,22350011,7700004,1851,0,1,"Italy",1997,17,8,9,26,34,4,25,59,"Italy",1996,34,12,-1,41
"Aston Villa",3,1,10500003,1050001,546,1,0,"England",1997,19,11,-5,22,38,7,1,57,"England",1996,38,5,13,61
"Atalanta BC",4,5,4,18000005,1153,1,1,"Italy",1997,17,16,-13,14,34,16,-23,32,"Italy",1996,34,10,-2,44
"Athletic",7,5,14940007,11110005,5790,1,1,"Spain",1997,19,6,8,32,38,2,10,65,"Spain",1996,42,6,15,64
"Atlético Madrid",7,3,61660007,6210003,449,1,1,"Spain",1997,19,4,16,33,38,5,23,60,"Spain",1996,42,5,12,71
"Barcelona",6,3,65650006,28300003,88,2,1,"Spain",1997,19,1,19,43,38,1,22,74,"Spain",1996,42,2,54,90
"Bay. Leverkusen",9,4,10565009,10225004,842,0,1,"Germany",1997,17,4,12,29,34,3,27,55,"Germany",1996,34,2,28,69
"Blackburn",9,8,9500009,28550008,10213,1,1,"England",1997,19,2,17,39,38,6,5,58,"England",1996,38,13,-1,42
"Bologna",9,0,1800009,0,0,2,0,"Italy",1997,17,14,-4,16,34,8,9,48,"Italy",1996,34,7,6,49
"Bor. Dortmund",0,1,0,1,0,0,0,"Germany",1997,17,11,2,21,34,10,2,43,"Germany",1996,34,3,22,63
"Bor. M'gladbach",5,0,5,0,0,1,0,"Germany",1997,17,16,-5,18,34,15,-5,38,"Germany",1996,34,11,-2,43
"Cannes",5,7,5,750007,494.666666666667,1,1,"France",1997,17,18,-16,14,34,18,-27,28,"France",1996,38,15,-16,41
"CD Tenerife",5,2,20000005,5300002,404,0,1,"Spain",1997,19,18,-14,18,38,16,-13,45,"Spain",1996,42,9,12,56
"Celta de Vigo",7,2,12210007,3600002,6116,1,1,"Spain",1997,19,7,6,31,38,7,7,60,"Spain",1996,42,16,-3,49
"Chelsea",6,2,17350006,4400002,132,1,0,"England",1997,19,3,26,38,38,4,28,63,"England",1996,38,6,3,59
"Coventry",5,1,750005,1000001,8043,2,1,"England",1997,19,15,-8,20,38,11,2,52,"England",1996,38,17,-16,41
"Dep. La Coruña",6,3,26650006,28900003,230,0,1,"Spain",1997,19,17,-4,19,38,12,-2,49,"Spain",1996,42,4,27,77
"Derby",7,2,2300007,3640002,777,1,1,"England",1997,19,7,6,29,38,9,3,55,"England",1996,38,12,-13,46
"Espanyol",6,3,1250006,9600003,3498,1,1,"Spain",1997,19,5,14,32,38,10,13,53,"Spain",1996,42,12,-6,51
"Everton",5,1,3200005,750001,277,1,0,"England",1997,19,19,-10,17,38,17,-15,40,"England",1996,38,15,-13,42
"FC Bayern",7,2,15900007,5130002,8569,1,1,"Germany",1997,17,2,18,35,34,2,32,66,"Germany",1996,34,1,34,71
"FC Metz",5,1,5,1,18,1,0,"France",1997,17,1,11,34,34,2,20,68,"France",1996,38,5,10,62
"FC Nantes",2,2,2,2,203,0,1,"France",1997,17,15,-5,17,34,11,-6,41,"France",1996,38,3,29,64
"FC Schalke 04",4,0,2350004,0,0,1,0,"Germany",1997,17,5,5,29,34,5,6,52,"Germany",1996,34,12,-5,43
"Fiorentina",5,0,9200005,0,0,1,0,"Italy",1997,17,6,16,27,34,5,29,57,"Italy",1996,34,9,5,45
"G. Bordeaux",6,7,5400006,14500007,237,1,1,"France",1997,17,5,5,30,34,5,8,56,"France",1996,38,4,17,63
"Guingamp",6,0,6,0,0,1,0,"France",1997,17,12,-5,19,34,16,-12,35,"France",1996,38,12,-4,46
"Hamburger SV",17,6,4550017,3000006,2246,1,1,"Germany",1997,17,15,-5,19,34,9,-8,44,"Germany",1996,34,13,-14,41
"Hansa Rostock",2,3,1800002,4750003,185,0,1,"Germany",1997,17,6,3,24,34,6,8,51,"Germany",1996,34,15,-11,40
"Inter",10,6,44700510,16100006,1685,2,1,"Italy",1997,17,2,17,37,34,2,35,69,"Italy",1996,34,3,16,59
"Juventus",11,7,26290011,22660007,7736.5,2,2,"Italy",1997,17,1,25,38,34,1,39,74,"Italy",1996,34,1,27,65
"Karlsruher SC",6,3,4900006,5650003,3029,1,1,"Germany",1997,17,12,-7,20,34,16,-12,38,"Germany",1996,34,6,11,49
"Lazio",4,5,12800004,3870005,4071,2,1,"Italy",1997,17,4,15,31,34,7,23,56,"Italy",1996,34,4,17,55
"Leeds",9,0,15930009,0,0,1,0,"England",1997,19,5,9,34,38,5,11,59,"England",1996,38,11,-10,46
"Leicester",4,0,2900004,0,0,1,0,"England",1997,19,8,5,27,38,10,10,53,"England",1996,38,9,-8,47
"Lens",7,0,7,0,0,1,0,"France",1997,17,6,4,28,34,1,25,68,"France",1996,38,13,-12,45
"Liverpool",6,3,14550006,15300003,1034,2,1,"England",1997,19,4,15,34,38,3,26,65,"England",1996,38,4,25,68
"Man Utd",7,2,7500007,2,833,1,1,"England",1997,19,1,32,43,38,2,47,77,"England",1996,38,1,32,75
"Marseille",6,0,9900006,0,0,1,0,"France",1997,17,2,12,33,34,4,20,57,"France",1996,38,11,-5,49
"MK Dons",3,3,5250003,14990003,2414,2,1,"England",1997,13,18,-1,17,38,15,-12,44,"England",1996,38,8,3,56
"Monaco",6,4,4960006,33750004,854,1,1,"France",1997,17,3,12,32,34,3,18,59,"France",1996,38,1,39,79
"Montpellier",7,2,7,2,389,1,1,"France",1997,17,10,-2,21,34,12,-10,41,"France",1996,38,10,0,51
"MSV Duisburg",6,1,375006,1,6,0,0,"Germany",1997,17,7,-2,23,34,8,-1,44,"Germany",1996,34,9,-5,45
"Newcastle",11,3,16050011,15830003,1906,1,1,"England",1997,19,9,-3,26,38,13,-9,44,"England",1996,38,2,33,68
"Olympique Lyon",7,3,7,7000003,819,1,1,"France",1997,17,9,-1,23,34,6,2,53,"France",1996,38,8,9,60
"Paris SG",10,5,10000010,21000005,4901,1,2,"France",1997,17,4,13,31,34,8,8,50,"France",1996,38,2,26,67
"Parma",7,2,14500007,2,269,2,2,"Italy",1997,17,5,12,29,34,6,16,57,"Italy",1996,34,2,15,63
"Piacenza",4,2,1550004,650002,607,2,1,"Italy",1997,17,13,-7,17,34,13,-9,37,"Italy",1996,34,16,-16,37
"R. Strasbourg",3,1,3,1,252,0,1,"France",1997,17,13,-6,18,34,13,-4,37,"France",1996,38,9,3,60
"Racing",4,3,1800004,240003,844,1,1,"Spain",1997,19,12,-3,23,38,15,-9,45,"Spain",1996,42,13,-2,50
"Real Betis",6,3,16500006,12751003,557,1,1,"Spain",1997,19,8,-1,29,38,8,-1,59,"Spain",1996,42,3,35,77
"Real Madrid",8,3,38820008,900003,3584,1,1,"Spain",1997,19,2,17,39,38,4,18,63,"Spain",1996,42,1,49,92
"Real Oviedo",1,2,1,6600002,3511,1,1,"Spain",1997,19,11,-5,24,38,18,-15,40,"Spain",1996,42,17,-16,48
"Real Sociedad",3,0,4200003,0,0,0,0,"Spain",1997,19,3,14,35,38,3,23,63,"Spain",1996,42,8,3,63
"Real Valladolid",4,2,2000004,4500002,1030,1,1,"Spain",1997,19,15,-10,20,38,11,-11,50,"Spain",1996,42,7,11,64
"Real Zaragoza",7,2,10920007,2,2617,1,1,"Spain",1997,19,10,-5,25,38,13,-8,48,"Spain",1996,42,14,-8,50
"Sampdoria",6,4,4000006,25000004,448.5,1,1,"Italy",1997,17,7,4,27,34,9,-3,48,"Italy",1996,34,6,14,53
"SC Bastia",6,6,6,6,1068,1,1,"France",1997,17,7,6,26,34,9,5,50,"France",1996,38,7,7,61
"SD Compostela",2,0,2,0,0,0,0,"Spain",1997,19,19,-11,17,38,17,-10,44,"Spain",1996,42,11,-13,53
"Sheff Wed",5,3,5000005,5000003,651,2,2,"England",1997,19,13,-12,21,38,16,-15,44,"England",1996,38,7,-1,57
"Southampton",11,6,8580011,5018006,4454.33333333333,2,2,"England",1997,19,14,-6,20,38,12,-5,48,"England",1996,38,16,-6,41
"Sporting Gijón",6,2,6,1200002,572,1,1,"Spain",1997,19,20,-28,3,38,20,-49,13,"Spain",1996,42,15,-18,50
"Spurs",7,1,14750007,1,306,1,1,"England",1997,19,17,-15,19,38,14,-12,44,"England",1996,38,10,-7,46
"SSC Napoli",9,5,3870009,8760005,2503.5,2,2,"Italy",1997,17,18,-29,6,34,18,-51,14,"Italy",1996,34,13,-7,41
"Stade Rennais",7,2,1200007,900002,337,1,0,"France",1997,17,16,-10,16,34,14,-12,36,"France",1996,38,16,-18,40
"Udinese Calcio",7,0,4500007,0,0,1,0,"Italy",1997,17,3,8,34,34,3,22,64,"Italy",1996,34,5,12,54
"Valencia",9,5,14000009,7300005,7089,1,1,"Spain",1997,19,13,-4,21,38,9,6,55,"Spain",1996,42,10,4,56
"VfB Stuttgart",5,4,7350005,8100004,3187,1,1,"Germany",1997,17,3,14,29,34,4,6,52,"Germany",1996,34,4,38,61
"VfL Bochum",3,1,3,1,3,0,0,"Germany",1997,17,17,-9,16,34,12,-8,41,"Germany",1996,34,5,3,53
"Vicenza",6,0,750006,0,0,2,0,"Italy",1997,17,11,-14,21,34,14,-25,36,"Italy",1996,34,8,5,47
"Werder Bremen",5,3,1500005,1500003,355,1,1,"Germany",1997,17,10,-6,22,34,7,-4,50,"Germany",1996,34,8,1,48
"West Ham",10,1,13080010,1,6032,1,1,"England",1997,19,10,-6,25,38,8,-1,56,"England",1996,38,14,-9,42
"1.FC K'lautern",5,1,1925005,1750001,204,1,0,"Germany",1998,17,3,1,33,34,5,4,57,"Germany",1997,34,1,24,68
"1860 Munich",4,1,1600004,800001,421,1,1,"Germany",1998,17,4,8,31,34,9,-7,41,"Germany",1997,34,13,-11,41
"AC Le Havre",7,3,7,7500003,648,0,1,"France",1998,17,15,-9,15,34,15,-15,35,"France",1997,34,10,3,44
"AC Milan",11,3,38470011,19350003,3726,1,1,"Italy",1998,17,4,6,30,34,1,25,70,"Italy",1997,34,10,-6,44
"AJ Auxerre",4,4,4,6100004,436,0,1,"France",1998,17,11,-1,23,34,14,-5,37,"France",1997,34,7,10,51
"Arsenal",7,2,6700007,2,340,0,1,"England",1998,19,5,10,32,38,2,42,78,"England",1997,38,1,35,78
"AS Roma",5,1,23450005,1,8,0,0,"Italy",1998,17,5,12,27,34,5,20,54,"Italy",1997,34,4,25,59
"Aston Villa",11,5,32700011,43100005,7047,1,2,"England",1998,19,2,10,36,38,6,5,55,"England",1997,38,7,1,57
"Athletic",5,0,6000005,0,0,1,0,"Spain",1998,19,8,0,30,38,8,6,60,"Spain",1997,38,2,10,65
"Atlético Madrid",9,4,37600009,35760004,3411,2,2,"Spain",1998,19,4,13,32,38,13,4,46,"Spain",1997,38,5,23,60
"Barcelona",6,5,26400006,22700005,594,1,2,"Spain",1998,19,1,18,34,38,1,44,79,"Spain",1997,38,1,22,74
"Bari",8,2,8,22000002,648,0,1,"Italy",1998,17,8,4,25,34,10,-5,42,"Italy",1997,34,11,-15,38
"Bay. Leverkusen",6,2,8800006,1400002,806,1,1,"Germany",1998,17,2,22,35,34,2,31,63,"Germany",1997,34,3,27,55
"Blackburn",10,6,35100010,4170006,7030,1,2,"England",1998,19,16,-8,17,38,19,-14,35,"England",1997,38,6,5,58
"Bologna",6,4,2600006,4800004,3319.66666666667,1,1,"Italy",1998,17,7,7,25,34,9,-3,44,"Italy",1997,34,8,9,48
"Bor. Dortmund",7,1,9600007,12600001,506,1,1,"Germany",1998,17,7,7,26,34,4,14,57,"Germany",1997,34,10,2,43
"Bor. M'gladbach",5,3,2900005,5500003,1292,1,1,"Germany",1998,17,18,-23,10,34,18,-38,21,"Germany",1997,34,15,-5,38
"CD Tenerife",2,1,6400002,1,837,1,1,"Spain",1998,19,17,-10,17,38,19,-22,34,"Spain",1997,38,16,-13,45
"Celta de Vigo",4,2,6200004,5700002,311,2,1,"Spain",1998,19,2,16,34,38,5,28,64,"Spain",1997,38,7,7,60
"Chelsea",7,3,18800007,3850003,1678,1,1,"England",1998,19,1,14,36,38,3,27,75,"England",1997,38,4,28,63
"Coventry",9,1,5950009,1,656,0,1,"England",1998,19,17,-11,17,38,15,-12,42,"England",1997,38,11,2,52
"Dep. La Coruña",6,1,24900006,1,318,2,0,"Spain",1998,19,7,6,30,38,6,12,63,"Spain",1997,38,12,-2,49
